iter,train_loss,val_loss,lr
0,7.627089,7.620668,0.000000e+00
20,7.211390,7.232069,2.400000e-04
40,6.574187,6.562505,4.800000e-04
60,5.868081,5.867621,6.000000e-05
0,7.647707,7.646957,0.000000e+00
100,4.153450,4.142249,6.000000e-04
200,3.374112,3.392056,5.984172e-04
300,3.172505,3.226801,5.936876e-04
400,3.018161,3.140661,5.858664e-04
500,2.981010,3.079234,5.750454e-04
600,2.904381,3.068593,5.613514e-04
700,2.857022,2.986756,5.449451e-04
800,2.822712,2.979485,5.260188e-04
900,2.786217,2.929419,5.047943e-04
1000,2.753015,2.915337,4.815205e-04
1100,2.732930,2.905510,4.564703e-04
1200,2.648685,2.891798,4.299373e-04
1300,2.639150,2.859215,4.022327e-04
1400,2.610001,2.823311,3.736811e-04
1500,2.564405,2.814116,3.446175e-04
1600,2.559725,2.791104,3.153825e-04
1700,2.503845,2.748927,2.863189e-04
1800,2.493901,2.779949,2.577673e-04
1900,2.475669,2.752599,2.300627e-04
2000,2.472291,2.707242,2.035297e-04
2100,2.479684,2.670978,1.784795e-04
2200,2.403024,2.674779,1.552057e-04
2300,2.390153,2.665031,1.339812e-04
2400,2.402821,2.664021,1.150549e-04
2500,2.398051,2.625632,9.864856e-05
2600,2.406866,2.649590,8.495464e-05
2700,2.388919,2.617809,7.413364e-05
2800,2.355686,2.622206,6.631245e-05
2900,2.405446,2.644664,6.158275e-05
3000,2.371824,2.630333,6.000000e-05
